ic_uzunluk_mm,ic_genislik_mm,ic_yukseklik_mm,max_agirlik_kg,max_yogunluk_kg_m3,satir_sayisi
13500,2440,3000,25000,1500,622914
13500,2440,2900,24000,1500,240117
13500,2440,2800,24000,1500,133558
13500,2440,3000,24000,1300,110743
13500,2440,3000,24000,1500,109691
13500,2440,3100,24000,1500,60384
13500,2440,3000,24500,1300,39218
13500,2440,2900,24000,1300,35088
13500,2440,3000,24000,1900,30752
13500,2440,2900,24500,1300,23902
13500,2440,2900,25000,1500,20107
13500,2440,2900,24000,1000,17122
13500,2440,3000,25000,1300,17008
13500,2440,2900,24000,1550,16206
13500,2440,3000,24000,3700,14880
14940,2500,2950,24000,1500,12943
13500,2440,2600,24000,1500,12689
13500,2440,2900,25500,1500,9928
13500,2440,3000,25500,1500,8762
13500,2440,3000,24000,1555,8322
13500,2440,2600,25000,1500,6022
13500,2440,2930,25000,1300,6012
13500,2440,3100,25000,1500,5836
13500,2440,2900,24000,1900,5762
13500,2440,2800,25000,1500,5708
13500,2440,3000,26000,1500,5318
13500,2440,2600,25150,1500,4872
13500,2440,2900,25000,1300,4740
13500,2440,2900,24000,1200,4476
13500,2440,2900,24000,1250,4076
13500,2440,2900,24500,1000,3248
13500,2440,2900,28000,1500,2928
13500,2440,2900,24000,1325,2898
13500,2440,3000,24000,1100,2824
13500,2440,2800,24000,1300,2624
13500,2440,2900,25000,1072,2430
13500,2440,2900,24500,1100,2305
13500,2440,3000,24000,1000,2292
13500,2440,2600,25000,1400,2196
13500,2440,2900,24000,7000,1996
13500,2440,3000,25000,1400,1974
13500,2440,2900,24000,2010,1944
13500,2440,2600,26000,1500,1942
13500,2440,2900,24000,1100,1914
13500,2440,2900,24873,1300,1860
13500,2440,3000,28000,1500,1674
13500,2440,2900,24500,1810,1672
13500,2440,3000,25000,1150,1658
13500,2440,3000,25000,1200,1648
13500,2440,2800,24500,1300,1608
13500,2440,3000,24000,800,1501
13500,2440,2900,24500,1490,1496
13500,2440,2800,25000,1300,1488
13500,2440,3000,25000,1000,1456
13500,2440,2900,26000,1500,1384
13500,2440,2600,25000,1300,1235
14500,2400,2800,30000,1500,1225
13500,2440,2900,25000,1068,1192
13500,2440,2900,25000,1250,1065
13500,2440,2900,25000,1560,1045
17500,2440,3000,25000,1300,1020
17500,2440,3000,25000,1500,980
13500,2440,3100,28000,1500,945
13500,2440,2600,27000,1500,908
13500,2440,3000,25000,800,880
13500,2440,3000,24500,1250,840
13500,2440,2900,27000,1500,764
13500,2440,3100,24500,1510,750
13500,2440,2900,24000,1301,644
13500,2440,2900,25000,1440,644
13500,2440,2800,28000,1500,643
13500,2440,2600,24000,1300,620
13500,2440,3000,25000,1100,604
13500,2440,2900,24000,900,601
13500,2440,2600,28000,1500,554
13500,2440,3000,24000,2000,532
13500,2440,2600,25000,1110,528
13500,2440,2600,24500,1550,500
13500,2440,3100,24000,1300,496
13500,2440,3000,28000,1200,484
13500,2440,2900,24500,2010,392
13500,2440,3000,25000,1250,386
13500,2440,2900,25430,1250,341
13500,2440,2700,25000,1350,330
13500,2440,2900,26000,1190,324
13500,2440,3000,27000,1500,300
13500,2430,2970,24550,1500,290
13500,2400,3000,24000,1500,288
13500,2440,2600,25150,1250,276
13500,2440,2800,24500,1500,260
13500,2440,2600,25075,1300,249
13500,2440,2900,24500,1250,239
13500,2440,2900,28000,1100,208
13500,2440,2800,24000,1200,204
13500,2440,3000,25250,1300,176
13500,2440,2800,25500,2500,162
13500,2440,3000,24000,1200,156
13500,1600,2000,24000,1500,154
13500,2440,2600,25000,1550,144
13500,2440,2800,25000,1000,144
13500,2440,2900,26800,1500,140
13500,2440,2900,24500,1500,126
13500,2440,2600,25612,1250,117
13500,2440,2600,24000,1160,105
13500,2440,3000,24000,1250,78
13500,2440,2800,26500,1500,78
13500,2440,2900,24500,1320,63
13500,2440,2500,27000,1200,56
13500,2440,2600,24000,1000,50
13500,2580,2900,24000,1500,43
13500,2440,2600,25500,1500,34
13500,2440,2800,25500,1500,32
13500,2440,2900,24700,1500,27
13500,2440,2600,24500,1500,27
13500,2440,2600,25000,1250,20
13500,2440,2600,25350,1250,16
13500,2440,2600,25200,1250,14
13500,2440,2600,25000,2300,6
