uzunluk_mm,genislik_mm,yukseklik_mm,toplam_adet,ort_agirlik_kg,min_kg,max_kg
1200,1000,975,385054,304.0,110.568,1154.8
1600,1200,930,141825,302.6,142.0,1122.991
1200,1000,750,74656,328.0,49.678,1211.28
780,570,478,74153,144.2,43.52,626.94
1200,1000,930,59250,355.6,114.0,1754.8
1206,1010,1085,43678,161.5,63.8,948.8
1600,1200,750,40595,278.5,117.0,722.6
1206,1010,1185,30576,370.4,83.1,1301.4
1209,1007,990,24611,99.4,51.7,159.22
800,600,560,20257,200.6,48.0,639.25
1900,1200,750,18834,391.7,184.528,1355.2
1206,1010,485,14819,63.7,22.36,345.7
1206,1010,385,13264,84.3,20.95,834.9
1206,1010,1391,10434,151.3,72.728,431.0
2400,1200,975,10025,527.8,291.1,1355.0
2280,1470,885,9238,958.7,818.8,1132.0
2280,1170,670,9004,616.8,614.204,619.652
1206,1010,1089,8708,123.4,54.56,195.8
1200,1000,1450,8362,486.3,109.8,680.28
1206,1010,1181,7576,224.5,96.4,796.1
2400,1200,630,7543,263.0,258.7,272.0
1206,1010,1083,6429,115.4,84.41,557.3
1650,1150,1018,6355,626.3,548.0,666.4
1700,1170,700,5390,475.0,475.0,475.0
1206,1010,785,5297,197.1,52.5,860.15
1340,1135,1200,5094,482.4,482.4,482.4
1206,1010,1385,4560,219.3,85.0,1078.6
1275,1014,840,4331,1286.9,561.0,1938.4
1350,1200,1200,4230,726.6,724.0,728.8
1910,1200,1490,3874,638.5,486.8,917.0
1200,1000,1150,3844,633.4,29.7,1208.6
1785,1150,660,3694,661.2,661.2,661.2
1206,1010,1093,3616,117.0,48.68,166.88
1670,1150,975,3562,197.8,197.84,197.84
1206,1010,985,3338,360.3,70.36,1140.4
1358,1153,1420,3312,393.8,393.84,393.84
1209,1007,750,3234,73.7,52.664,175.3
1358,1153,1340,3208,358.1,318.0,432.24
1600,1200,960,3176,332.1,330.0,334.11
1600,1200,1250,3146,602.1,157.856,1307.5
1300,1100,975,2966,380.4,308.24,501.5
1180,1140,1090,2871,476.6,404.24,724.0
1209,1007,1017,2832,92.5,91.364,94.064
1630,1200,1000,2768,346.2,346.104,346.392
1206,1010,585,2766,198.8,44.88,579.9
2350,1320,1000,2758,854.7,826.04,886.8
1600,1200,1350,2717,256.2,174.57,689.29
1675,1200,1475,2554,257.2,254.456,257.996
1900,1200,905,2530,289.7,285.7,293.61
1300,1150,1391,2526,238.9,226.1,240.5
1670,1200,1340,2476,326.3,324.812,333.02
