instance,kamyon_sayisi,item_satiri,toplam_parca
AS,656,1672,8402
BU,413,2318,10579
BY,5821,14568,75695
BY2,5821,14568,75695
CA,569,1391,12772
CC,407,1890,14347
CI,1670,10324,39522
CI2,1670,10324,39522
CL,1061,4020,30051
DO,1989,7733,41196
DO2,1989,7733,41196
FC,535,1226,5017
FL,1122,12040,40742
FS,220,1529,6967
MA,1990,16541,61267
MA2,1990,16541,61267
MT,721,3660,22703
PA,2866,19114,63641
PA2,2866,19114,63641
RM,2493,3816,17741
RM2,2493,3816,17741
RT,230,953,7112
SA,3565,17153,85435
SA2,3565,17153,85435
TA,4480,13863,68688
TA2,4480,13863,68688
TR,3136,10314,49103
TR2,3136,10314,49103
VA,5207,15079,70268
VA2,5207,15079,70268
